date,Fiscal_Impact,RecessionDummy,Fiscal_Impact_bars
01/01/00,0.216,0,-0.943
04/01/00,0.317,0,0.636
07/01/00,0.102,0,-0.189
10/01/00,-0.067,0,0.23
01/01/01,0.446,0,1.107
04/01/01,0.666,1,1.517
07/01/01,0.961,1,0.991
10/01/01,1.481,1,2.308
01/01/02,1.776,0,2.287
04/01/02,1.986,0,2.359
07/01/02,2.223,0,1.938
10/01/02,2.054,0,1.631
01/01/03,1.719,0,0.948
04/01/03,1.709,0,2.319
07/01/03,1.483,0,1.033
10/01/03,1.344,0,1.077
01/01/04,1.257,0,0.599
04/01/04,0.869,0,0.766
07/01/04,0.688,0,0.31
10/01/04,0.337,0,-0.326
01/01/05,0.119,0,-0.273
04/01/05,-0.142,0,-0.279
07/01/05,-0.171,0,0.194
10/01/05,-0.278,0,-0.755
01/01/06,-0.192,0,0.073
04/01/06,-0.202,0,-0.319
07/01/06,-0.28,0,-0.117
10/01/06,-0.06,0,0.123
01/01/07,-0.193,0,-0.458
04/01/07,-0.036,0,0.307
07/01/07,0.096,0,0.413
10/01/07,0.157,0,0.365
01/01/08,0.365,1,0.377
04/01/08,0.854,1,2.263
07/01/08,1.218,1,1.868
10/01/08,1.362,1,0.941
01/01/09,1.881,1,2.454
04/01/09,2.361,1,4.18
07/01/09,2.711,0,3.269
10/01/09,3.023,0,2.187
01/01/10,2.775,0,1.462
04/01/10,2.098,0,1.472
07/01/10,1.508,0,0.912
10/01/10,0.955,0,-0.026
01/01/11,0.141,0,-1.796
04/01/11,-0.347,0,-0.478
07/01/11,-0.848,0,-1.095
10/01/11,-1.078,0,-0.944
01/01/12,-0.947,0,-1.273
04/01/12,-0.982,0,-0.617
07/01/12,-0.643,0,0.261
10/01/12,-0.803,0,-1.585
01/01/13,-0.892,0,-1.626
04/01/13,-0.933,0,-0.781
07/01/13,-1.089,0,-0.362
10/01/13,-1.003,0,-1.242
01/01/14,-0.767,0,-0.683
04/01/14,-0.579,0,-0.03
07/01/14,-0.377,0,0.447
10/01/14,-0.215,0,-0.593
