"","year","quarter","impact","recession","total","federal","state_local","consumption","projection"
"1","1999","Q4",-0.447229407488593,0,-0.0487312706675355,0.174328639427791,0.195932738201948,-0.418992648297275,0
"2","2000","Q1",-0.745666968456712,0,-1.88755655971204,-1.41710904079752,0.144357275003258,-0.614804793917782,0
"3","2000","Q2",-0.610323193250259,0,-0.309094426748107,0.428264962728401,-0.468287051307513,-0.269072338168995,0
"4","2000","Q3",-0.838234423989491,0,-1.10755543883028,-0.491931090815183,-0.522994648091128,-0.0926296999239729,0
"5","2000","Q4",-0.880699255235237,0,-0.218590595650521,-0.217400711098676,-0.0237113400101865,0.0225214554583408,0
"6","2001","Q1",-0.236051114943578,1,0.691036001454598,0.607138245565847,-0.15483447740928,0.238732233298031,0
"7","2001","Q2",0.0980688281177672,1,1.02738534549727,0.426952904880222,0.221886986080769,0.378545454536282,0
"8","2001","Q3",0.575213427407978,1,0.801022958330558,-0.331031705459419,-0.33833351450089,1.47038817829087,0
"9","2001","Q4",1.10998981200353,1,1.92051494273168,0.466783192045947,0.189881575304609,1.26385017538112,0
"10","2002","Q1",1.50861476328371,0,2.28553580657533,1.04968014374788,-0.294014160522808,1.52986982335026,0
"11","2002","Q2",1.73467967616552,0,1.93164499702451,0.257051726798941,-0.198083268005824,1.87267653823139,0
"12","2002","Q3",1.89535874063859,0,1.44373921622284,0.0752006929048299,-0.184391741951562,1.55293026526957,0
"13","2002","Q4",1.71215807360674,0,1.18771227460429,0.341108612758075,-0.252896946522739,1.09950060836895,0
"14","2003","Q1",1.31910570642482,0,0.713326337847649,-0.116530367991746,-0.304740309357518,1.13459701519691,0
"15","2003","Q2",1.18251933395341,0,1.38529950713888,1.75702279865995,-1.52632907503688,1.15460578351581,0
"16","2003","Q3",0.968704709836062,0,0.588480719753433,-0.240257082250215,-0.0922287492688557,0.920966551272504,0
"17","2003","Q4",0.8338634252474,0,0.648347136249643,0.286609846233455,-0.324333807592083,0.68607109760827,0
"18","2004","Q1",0.674797893553961,0,0.0770642110738916,-0.279295083237738,0.108744492507392,0.247614801804237,0
