"","year","quarter","impact","recession","total","federal","state_local","consumption","projection"
"1","1999","Q4",-0.450390005916086,0,-0.0585659199375013,0.231813694083588,0.138447683546152,-0.428827297567241,0
"2","2000","Q1",-0.753579612685214,0,-1.90281970777515,-1.31159166141865,0.0388398956243916,-0.630067941980896,0
"3","2000","Q2",-0.624463771122921,0,-0.329351539713623,0.470710894406081,-0.510732982985193,-0.289329451134512,0
"4","2000","Q3",-0.851863505612059,0,-1.11671685502196,-0.754230409792762,-0.26069532911355,-0.101791116115647,0
"5","2000","Q4",-0.890597837202574,0,-0.213503246299562,0.0379467765607742,-0.279058827669636,0.0276088048092999,0
"6","2001","Q1",-0.234123296334094,1,0.723078455698768,0.417669976936264,0.0346337912203033,0.270774687542201,0
"7","2001","Q2",0.120278614649025,1,1.08825610421885,0.385423306874095,0.263416584086896,0.439416213257859,0
"8","2001","Q3",0.623617987795162,1,0.896640637562589,-0.324605154733429,-0.34476006522688,1.5660058575229,0
"9","2001","Q4",1.19426994791094,1,2.06910459416355,0.123098901089683,0.533565866260873,1.41243982681299,0
"10","2002","Q1",1.61880314646997,0,2.42121124993491,1.05224512733517,-0.296579144110097,1.66554526670984,0
"11","2002","Q2",1.89342991892907,0,2.18676319405523,0.318567664689432,-0.259599205896316,2.12779473526211,0
"12","2002","Q3",2.07527966979648,0,1.62403964103224,-0.0853262004793568,-0.0238648485673756,1.73323069007897,0
"13","2002","Q4",1.87694246927521,0,1.27575579207847,0.345685320915438,-0.257473654680101,1.18754412584314,0
"14","2003","Q1",1.46275562242556,0,0.764463862536295,0.0406776650144408,-0.461948342363705,1.18573453988556,0
"15","2003","Q2",1.24681621844933,0,1.32300557815032,1.66559453820198,-1.43490081457891,1.09231185452725,0
"16","2003","Q3",0.977703489371705,0,0.547588724721738,-0.732342359114015,0.399856527594944,0.880074556240809,0
"17","2003","Q4",0.811889343755567,0,0.612499209613917,0.509265169814308,-0.546989131172936,0.650223170972545,0
"18","2004","Q1",0.617193144315672,0,-0.0143209352232842,-0.404120088259788,0.233569497529442,0.156229655507062,0
"19","2004","Q2",0.215028477511733,0,-0.285653089065439,-0.281371460998754,-0.0356739363994673,0.0313923083327823,0
"20","2004","Q3",-0.0789326103086914,0,-0.62825562655996,0.339877025339128,-0.731441606191145,-0.236691045707942,0
"21","2004","Q4",-0.437014964811534,0,-0.819830208397454,-0.355031441541672,-0.230744437700099,-0.234054329155683,0
