year,quarter,impact,recession,total,federal,state_local,consumption
2000,Q1,0.21,0,-0.94,-0.95,0.36,-0.35
2000,Q2,0.31,0,0.64,0.88,0.02,-0.26
2000,Q3,0.1,0,-0.19,-0.42,0.27,-0.04
2000,Q4,-0.07,0,0.23,-0.13,0.35,0
2001,Q1,0.45,0,1.11,0.53,0.54,0.04
2001,Q2,0.67,1,1.52,0.49,0.95,0.09
2001,Q3,0.96,1,0.99,0.21,-0.26,1.04
2001,Q4,1.48,1,2.31,0.2,0.88,1.24
2002,Q1,1.78,0,2.29,0.64,0.47,1.18
2002,Q2,1.99,0,2.36,0.62,0.11,1.63
2002,Q3,2.22,0,1.94,0.42,0.17,1.35
2002,Q4,2.05,0,1.63,0.5,0.05,1.08
2003,Q1,1.72,0,0.95,0.02,-0.26,1.19
2003,Q2,1.71,0,2.32,1.42,-0.19,1.09
2003,Q3,1.48,0,1.03,-0.16,0.18,1.01
2003,Q4,1.34,0,1.08,0.56,-0.13,0.65
2004,Q1,1.26,0,0.6,0.2,0.01,0.39
2004,Q2,0.87,0,0.77,0.29,0.15,0.33
2004,Q3,0.69,0,0.31,0.51,-0.21,0.01
2004,Q4,0.34,0,-0.33,-0.25,-0.08,0
2005,Q1,0.12,0,-0.27,0.17,0,-0.45
2005,Q2,-0.14,0,-0.28,0.06,0.07,-0.42
2005,Q3,-0.17,0,0.19,0.53,0.07,-0.41
2005,Q4,-0.28,0,-0.75,-0.43,0.15,-0.46
2006,Q1,-0.19,0,0.07,0.71,-0.11,-0.54
2006,Q2,-0.2,0,-0.32,-0.04,0.31,-0.59
2006,Q3,-0.28,0,-0.12,0.01,0.16,-0.28
2006,Q4,-0.06,0,0.12,0.3,0.2,-0.39
2007,Q1,-0.19,0,-0.46,-0.39,0.23,-0.3
2007,Q2,-0.04,0,0.31,0.46,0.2,-0.35
2007,Q3,0.1,0,0.41,0.55,0.01,-0.15
2007,Q4,0.16,0,0.37,0.16,0.15,0.06
2008,Q1,0.37,1,0.38,0.47,-0.15,0.06
2008,Q2,0.99,1,2.79,0.56,0.07,2.17
2008,Q3,1.39,1,2.02,0.91,0.22,0.89
2008,Q4,1.62,1,1.28,0.56,0,0.72
2009,Q1,2.16,1,2.56,-0.24,0.39,2.41
2009,Q2,2.22,1,3.04,1.09,0.47,1.48
2009,Q3,2.45,0,2.93,0.47,0.01,2.45
2009,Q4,2.67,0,2.15,0.02,-0.19,2.32
2010,Q1,2.42,0,1.57,0.32,-0.95,2.2
2010,Q2,2.14,0,1.92,0.71,-0.1,1.31
2010,Q3,1.71,0,1.18,0.32,-0.39,1.25
2010,Q4,1.21,0,0.16,-0.23,-0.63,1.03
2011,Q1,0.35,0,-1.86,-0.95,-0.65,-0.26
2011,Q2,-0.26,0,-0.54,0.14,-0.22,-0.46
2011,Q3,-0.84,0,-1.14,-0.35,-0.17,-0.62
2011,Q4,-1.13,0,-0.99,-0.21,-0.1,-0.68
2012,Q1,-0.96,0,-1.18,-0.03,-0.36,-0.78
2012,Q2,-1.08,0,-1,-0.24,-0.14,-0.61
2012,Q3,-0.96,0,-0.65,0.04,-0.26,-0.43
2012,Q4,-1.02,0,-1.27,-0.45,-0.3,-0.52
2013,Q1,-1.15,0,-1.67,-0.86,0.02,-0.84
2013,Q2,-1.2,0,-1.23,-0.41,0.03,-0.86
2013,Q3,-1.24,0,-0.78,-0.39,0.01,-0.41
2013,Q4,-1.17,0,-0.98,-0.42,-0.11,-0.45
2014,Q1,-0.93,0,-0.71,-0.03,-0.09,-0.6
2014,Q2,-0.67,0,-0.19,-0.11,0.31,-0.39
2014,Q3,-0.45,0,0.08,0.22,0.17,-0.31
2014,Q4,-0.29,0,-0.33,-0.4,0.28,-0.22
2015,Q1,-0.05,0,0.24,0.11,0.17,-0.03
2015,Q2,0.15,0,0.59,0.12,0.48,-0.01
2015,Q3,0.17,0,0.18,-0.07,0.28,-0.03
2015,Q4,0.23,0,-0.1,0.17,-0.12,-0.15
2016,Q1,0.25,0,0.34,-0.1,0.42,0.02
2016,Q2,0.07,0,-0.14,-0.06,-0.11,0.02
2016,Q3,0.007,0,-0.068,0.11,-0.02,-0.16
2016,Q4,0.05,0,0.072,-0.03,0.06,0.04
2017,Q1,-0.04,0,-0.023,-0.16,0.05,0.09
2017,Q2,-0.003,0,0.009,0.13,-0.16,0.04
2017,Q3,0.039,0,0.099,0.09,0.03,-0.02
2017,Q4,0.127,0,0.425,0.2,0.31,-0.09
2018,Q1,0.15,0,0.07,0.11,0.08,-0.13
