date,impact,recession,total,federal,state_local,consumption,Hutchins Center Fiscal Impact Measure
3/31/2000,0.21,0,-0.94,-0.95,0.36,-0.35,Source: Hutchins Center on Fiscal and Monetary Policy calculations from BEA data
6/30/2000,0.31,0,0.64,0.88,0.02,-0.26,
9/30/2000,0.1,0,-0.19,-0.42,0.27,-0.04,
12/31/2000,-0.07,0,0.23,-0.13,0.35,0,
3/31/2001,0.45,0,1.11,0.53,0.54,0.04,
6/30/2001,0.67,1,1.52,0.49,0.95,0.09,
9/30/2001,0.96,1,0.99,0.21,-0.26,1.04,
12/31/2001,1.48,1,2.31,0.2,0.88,1.24,
3/31/2002,1.78,0,2.29,0.64,0.47,1.18,
6/30/2002,1.99,0,2.36,0.62,0.11,1.63,
9/30/2002,2.22,0,1.94,0.42,0.17,1.35,
12/31/2002,2.05,0,1.63,0.5,0.05,1.08,
3/31/2003,1.72,0,0.95,0.02,-0.26,1.19,
6/30/2003,1.71,0,2.32,1.42,-0.19,1.09,
9/30/2003,1.48,0,1.03,-0.16,0.18,1.01,
12/31/2003,1.34,0,1.08,0.56,-0.13,0.65,
3/31/2004,1.26,0,0.6,0.2,0.01,0.39,
6/30/2004,0.87,0,0.77,0.29,0.15,0.33,
9/30/2004,0.69,0,0.31,0.51,-0.21,0.01,
12/31/2004,0.34,0,-0.33,-0.25,-0.08,0,
3/31/2005,0.12,0,-0.27,0.17,0,-0.45,
6/30/2005,-0.14,0,-0.28,0.06,0.07,-0.42,
9/30/2005,-0.17,0,0.19,0.53,0.07,-0.41,
12/31/2005,-0.28,0,-0.75,-0.43,0.15,-0.46,
3/31/2006,-0.19,0,0.07,0.71,-0.11,-0.54,
6/30/2006,-0.2,0,-0.32,-0.04,0.31,-0.59,
9/30/2006,-0.28,0,-0.12,0.01,0.16,-0.28,
12/31/2006,-0.06,0,0.12,0.3,0.2,-0.39,
3/31/2007,-0.19,0,-0.46,-0.39,0.23,-0.3,
6/30/2007,-0.04,0,0.31,0.46,0.2,-0.35,
9/30/2007,0.1,0,0.41,0.55,0.01,-0.15,
12/31/2007,0.16,0,0.37,0.16,0.15,0.06,
3/31/2008,0.37,1,0.38,0.47,-0.15,0.06,
6/30/2008,0.99,1,2.79,0.56,0.07,2.17,
9/30/2008,1.39,1,2.02,0.91,0.22,0.89,
12/31/2008,1.62,1,1.28,0.56,0,0.72,
3/31/2009,2.16,1,2.56,-0.24,0.39,2.41,
6/30/2009,2.22,1,3.04,1.09,0.47,1.48,
9/30/2009,2.45,0,2.93,0.47,0.01,2.45,
12/31/2009,2.67,0,2.15,0.02,-0.19,2.32,
3/31/2010,2.42,0,1.57,0.32,-0.95,2.2,
6/30/2010,2.14,0,1.92,0.71,-0.1,1.31,
9/30/2010,1.71,0,1.18,0.32,-0.39,1.25,
12/31/2010,1.21,0,0.16,-0.23,-0.63,1.03,
3/31/2011,0.35,0,-1.86,-0.95,-0.65,-0.26,
6/30/2011,-0.26,0,-0.54,0.14,-0.22,-0.46,
9/30/2011,-0.84,0,-1.14,-0.35,-0.17,-0.62,
12/31/2011,-1.13,0,-0.99,-0.21,-0.1,-0.68,
3/31/2012,-0.96,0,-1.18,-0.03,-0.36,-0.78,
6/30/2012,-1.08,0,-1,-0.24,-0.14,-0.61,
9/30/2012,-0.96,0,-0.65,0.04,-0.26,-0.43,
12/31/2012,-1.02,0,-1.27,-0.45,-0.3,-0.52,
3/31/2013,-1.15,0,-1.67,-0.86,0.02,-0.84,
6/30/2013,-1.2,0,-1.23,-0.41,0.03,-0.86,
9/30/2013,-1.24,0,-0.78,-0.39,0.01,-0.41,
12/31/2013,-1.17,0,-0.98,-0.42,-0.11,-0.45,
3/31/2014,-0.93,0,-0.71,-0.03,-0.09,-0.6,
6/30/2014,-0.67,0,-0.19,-0.11,0.31,-0.39,
9/30/2014,-0.45,0,0.08,0.22,0.17,-0.31,
12/31/2014,-0.29,0,-0.33,-0.4,0.28,-0.22,
3/31/2015,-0.05,0,0.24,0.11,0.17,-0.03,
6/30/2015,0.15,0,0.59,0.12,0.48,-0.01,
9/30/2015,0.17,0,0.18,-0.07,0.28,-0.03,
12/31/2015,0.23,0,-0.1,0.17,-0.12,-0.15,
3/31/2016,0.25,0,0.34,-0.1,0.42,0.02,
6/30/2016,0.07,0,-0.14,-0.06,-0.11,0.02,
9/30/2016,0.007,0,-0.068,0.11,-0.02,-0.16,
12/31/2016,0.05,0,0.072,-0.03,0.06,0.04,
3/31/2017,-0.04,0,-0.023,-0.16,0.05,0.09,
6/30/2017,-0.003,0,0.009,0.13,-0.16,0.04,
9/30/2017,0.031,0,0.066,0.08,-0.01,0,
